Make,TOTAL_COUNT,Proportion
TESLA,5390,21.93553638287482
CHEVROLET,3341,13.596776819143741
VOLVO,2820,11.476477291225786
BMW,2757,11.220087904932443
FORD,2457,9.999186065440338
AUDI,2094,8.521894839654893
KIA,1828,7.4393618753052255
HYUNDAI,1495,6.08416083346899
NISSAN,1273,5.1806934722448315
PORSCHE,1117,4.545824515708937
