Make,Model,Longitude,Latitude,Count
JEEP,WRANGLER,-122.29179,47.43473,628
TESLA,MODEL Y,-122.12302,47.67668,557
TESLA,MODEL Y,-122.1876761,47.820517,543
TESLA,MODEL Y,-122.16937,47.571015,373
CHRYSLER,PACIFICA,-122.29179,47.43473,354
TESLA,MODEL Y,-122.0313266,47.6285782,303
TESLA,MODEL Y,-122.179458,47.802589,290
TESLA,MODEL Y,-122.201905,47.61385,270
TESLA,MODEL Y,-121.999595,47.547635,257
TESLA,MODEL Y,-122.15734,47.487175,250
