County,Transaction Year,New,New,New,Used,Used,Used
,,Battery Electric Vehicle (BEV),Hydrogen Powered Vehicle,Plug-in Hybrid Electric Vehicle (PHEV),Battery Electric Vehicle (BEV),Hydrogen Powered Vehicle,Plug-in Hybrid Electric Vehicle (PHEV)
Kitsap,2017,73,0,75,219,0,205
Kitsap,2018,94,0,91,296,0,301
Kitsap,2019,118,0,73,427,0,403
Kitsap,2020,161,0,56,545,0,483
Kitsap,2021,274,0,126,706,0,568
Kitsap,2022,399,0,117,988,0,721
Kitsap,2023,439,0,183,1247,0,767
Kittitas,2015,3,0,1,6,0,8
Kittitas,2016,2,0,3,11,0,11
Kittitas,2017,10,0,3,24,0,25
Kittitas,2018,17,0,8,39,0,31
Kittitas,2019,13,0,2,63,0,41
Kittitas,2020,24,0,5,80,0,48
Kittitas,2021,39,0,11,132,0,58
Kittitas,2022,80,0,14,181,0,78
Kittitas,2023,94,0,18,234,0,87
Klickitat,2015,3,0,2,13,0,13
Klickitat,2016,3,0,5,16,0,15
Klickitat,2017,5,0,3,20,0,22
Klickitat,2018,10,0,4,19,0,27
Klickitat,2019,11,0,6,30,0,29
Klickitat,2020,11,0,2,47,0,39
Klickitat,2021,18,0,10,64,0,43
Klickitat,2022,38,0,8,84,0,43
Klickitat,2023,35,0,11,111,0,49
Lewis,2015,4,0,1,25,0,16
Lewis,2016,4,0,5,34,0,22
Lewis,2017,7,0,7,42,0,31
Lewis,2018,24,0,14,45,0,61
Lewis,2019,18,0,7,71,0,94
Lewis,2020,19,0,7,94,0,103
Lewis,2021,44,0,24,130,0,121
Lewis,2022,55,0,21,184,0,140
Lewis,2023,77,0,53,221,0,148
Lincoln,2015,2,0,0,0,0,3
Lincoln,2016,1,0,0,1,0,4
Lincoln,2017,0,0,0,2,0,5
Lincoln,2018,0,0,0,2,0,6
Lincoln,2019,0,0,2,2,0,9
Lincoln,2020,2,0,0,3,0,11
Lincoln,2021,1,0,1,7,0,15
Lincoln,2022,6,0,1,5,0,17
Lincoln,2023,7,0,4,13,0,15
Mason,2015,6,0,6,24,0,36
Mason,2016,4,0,8,36,0,43
Mason,2017,16,0,11,41,0,58
Mason,2018,26,0,22,70,0,75
Mason,2019,28,0,11,88,0,109
Mason,2020,24,0,2,121,0,114
Mason,2021,59,0,16,173,0,132
Mason,2022,84,0,22,249,0,155
Mason,2023,100,0,27,304,0,150
Okanogan,2015,0,0,2,0,0,6
Okanogan,2016,0,0,4,1,0,11
Okanogan,2017,2,0,4,4,0,13
Okanogan,2018,6,0,3,9,0,18
Okanogan,2019,10,0,4,19,0,21
Okanogan,2020,15,0,1,39,0,35
Okanogan,2021,8,0,9,52,0,32
Okanogan,2022,26,0,6,68,0,47
Okanogan,2023,39,0,12,84,0,57
Pacific,2015,0,0,1,4,0,2
Pacific,2016,1,0,0,4,0,5
Pacific,2017,6,0,6,9,0,7
Pacific,2018,5,0,9,16,0,13
Pacific,2019,8,0,6,22,0,22
Pacific,2020,6,0,4,26,0,29
Pacific,2021,9,0,15,41,0,46
Pacific,2022,20,0,14,58,0,63
Pacific,2023,20,0,17,59,0,72
Pend Oreille,2015,1,0,0,0,0,0
Pend Oreille,2016,1,0,1,0,0,2
Pend Oreille,2017,1,0,1,2,0,4
Pend Oreille,2018,2,0,2,4,0,3
Pend Oreille,2019,1,0,0,6,0,7
Pend Oreille,2020,5,0,0,6,0,4
Pend Oreille,2021,6,0,2,13,0,7
Pend Oreille,2022,4,0,1,17,0,11
Pend Oreille,2023,11,0,5,16,0,13
Pierce,2015,68,1,77,141,0,199
Pierce,2016,82,0,112,197,0,290
Pierce,2017,103,0,124,314,0,407
Pierce,2018,125,0,180,406,0,533
Pierce,2019,197,0,149,566,0,718
Pierce,2020,238,0,118,752,0,803
Pierce,2021,423,0,203,989,0,954
Pierce,2022,664,0,254,1404,0,1165
Pierce,2023,799,0,332,1796,0,1303
San Juan,2015,13,0,2,35,0,16
San Juan,2016,12,0,3,55,0,26
San Juan,2017,30,0,10,74,0,33
San Juan,2018,28,0,14,109,0,51
San Juan,2019,41,0,8,159,0,63
San Juan,2020,35,0,12,230,0,93
San Juan,2021,42,0,11,298,0,123
San Juan,2022,83,0,18,344,0,141
San Juan,2023,77,0,19,397,0,129
Skagit,2015,19,0,9,41,0,42
Skagit,2016,17,0,13,57,0,53
Skagit,2017,28,0,32,94,0,84
Skagit,2018,45,0,38,129,0,124
Skagit,2019,60,0,15,202,0,171
Skagit,2020,70,0,12,276,0,194
Skagit,2021,121,0,39,352,0,232
Skagit,2022,162,0,33,466,0,284
Skagit,2023,208,0,67,599,0,300
Skamania,2015,4,0,0,2,0,3
Skamania,2016,1,0,1,6,0,5
Skamania,2017,3,0,1,7,0,4
Skamania,2018,5,0,6,11,0,8
Skamania,2019,12,0,4,16,0,14
Skamania,2020,4,0,1,29,0,19
Skamania,2021,21,0,12,38,0,29
Skamania,2022,22,0,3,62,0,47
Skamania,2023,29,0,6,82,0,40
Snohomish,2015,86,0,69,172,0,212
Snohomish,2016,115,0,111,256,0,295
Snohomish,2017,160,0,147,381,0,408
Snohomish,2018,181,0,171,526,0,551
Snohomish,2019,252,0,150,725,0,725
Snohomish,2020,289,0,110,920,0,841
Snohomish,2021,494,0,217,1153,0,975
Snohomish,2022,790,0,262,1634,0,1243
Snohomish,2023,907,0,349,2129,0,1366
Spokane,2015,32,0,31,78,0,89
Spokane,2016,30,0,40,98,0,114
Spokane,2017,42,0,41,153,0,157
Spokane,2018,57,0,67,209,0,219
Spokane,2019,91,0,45,274,0,316
Spokane,2020,115,0,42,390,0,369
Spokane,2021,197,0,85,517,0,473
Spokane,2022,307,0,109,744,0,601
Spokane,2023,342,0,208,952,0,678
Stevens,2015,2,0,1,4,0,14
Stevens,2016,0,0,5,6,0,14
Stevens,2017,1,0,3,8,0,18
Stevens,2018,3,0,2,11,0,24
Stevens,2019,10,0,5,18,0,30
Stevens,2020,5,0,1,31,0,38
Stevens,2021,16,0,5,36,0,39
Stevens,2022,27,0,4,60,0,53
Stevens,2023,38,0,15,81,0,45
Thurston,2015,35,0,33,90,0,116
Thurston,2016,41,0,63,120,0,147
Thurston,2017,61,0,52,179,0,225
Thurston,2018,100,0,105,266,0,303
Thurston,2019,130,0,91,377,0,413
Thurston,2020,156,0,60,499,0,485
Thurston,2021,229,0,110,672,0,554
Thurston,2022,403,0,108,929,0,676
Thurston,2023,457,0,161,1175,0,702
Wahkiakum,2015,0,0,1,0,0,0
Wahkiakum,2016,0,0,0,0,0,1
Wahkiakum,2017,0,0,0,0,0,2
Wahkiakum,2018,1,0,1,0,0,1
Wahkiakum,2019,1,0,1,3,0,3
Wahkiakum,2020,1,0,0,5,0,7
Wahkiakum,2021,9,0,3,7,0,7
Wahkiakum,2022,6,0,0,18,0,12
Wahkiakum,2023,6,0,2,26,0,16
Walla Walla,2015,2,0,1,9,0,13
Walla Walla,2016,2,0,4,11,0,16
Walla Walla,2017,6,0,5,21,0,25
Walla Walla,2018,8,0,15,29,0,38
Walla Walla,2019,15,0,7,40,0,53
Walla Walla,2020,21,0,7,67,0,60
Walla Walla,2021,29,0,14,101,0,71
Walla Walla,2022,49,0,14,128,0,93
Walla Walla,2023,46,0,24,163,0,86
Whatcom,2015,44,0,18,85,0,56
Whatcom,2016,49,0,24,123,0,90
Whatcom,2017,49,0,46,185,0,148
Whatcom,2018,69,0,66,239,0,217
Whatcom,2019,102,0,51,337,0,304
Whatcom,2020,135,0,32,448,0,372
Whatcom,2021,206,0,69,592,0,431
Whatcom,2022,306,0,68,782,0,532
Whatcom,2023,368,0,129,1021,0,556
Whitman,2015,1,0,3,5,0,12
Whitman,2016,0,0,2,8,0,18
Whitman,2017,5,0,6,12,0,17
Whitman,2018,8,0,11,14,0,25
Whitman,2019,10,0,8,32,0,37
Whitman,2020,8,0,2,42,0,43
